0.000;0.045;0.023;
0.000;0.045;0.023;
0.000;0.045;0.023;
0.000;0.045;0.023;
0.000;0.164;0.082;
0.033;0.145;0.089;
0.033;0.109;0.071;
0.000;0.045;0.023;
0.000;0.000;0.000;
0.000;0.045;0.023;
0.283;0.136;0.210;
0.283;0.136;0.210;
0.283;0.464;0.373;
0.100;0.018;0.059;
0.283;0.445;0.364;
0.283;0.109;0.196;
0.033;0.309;0.171;
0.033;0.173;0.103;
0.033;0.309;0.171;
0.000;0.364;0.182;
0.033;0.855;0.444;
0.000;0.045;0.023;
0.000;0.045;0.023;
0.000;0.145;0.073;
0.000;0.045;0.023;
0.000;0.145;0.073;
0.033;0.264;0.148;
0.033;0.264;0.148;
0.033;0.264;0.148;
0.033;0.264;0.148;
0.283;0.473;0.378;
0.283;0.045;0.164;
0.283;0.264;0.273;
0.283;0.473;0.378;
0.283;0.118;0.201;
0.283;0.355;0.319;
0.283;0.982;0.633;
0.283;0.245;0.264;
0.033;0.355;0.194;
0.033;0.082;0.058;
0.000;0.145;0.073;
0.033;0.145;0.089;
0.033;0.409;0.221;
0.100;0.245;0.173;
0.100;0.300;0.200;
0.100;0.573;0.336;
0.033;0.164;0.098;
0.650;0.018;0.334;
0.100;0.191;0.145;
0.567;0.518;0.542;
0.433;0.745;0.589;
0.100;0.164;0.132;
0.383;0.518;0.451;
0.283;0.164;0.223;
0.100;0.173;0.136;
0.100;0.173;0.136;
0.283;0.645;0.464;
0.100;0.173;0.136;
0.100;0.045;0.073;
0.283;0.282;0.283;
0.283;0.591;0.437;
0.033;0.018;0.026;
0.033;0.018;0.026;
0.100;0.591;0.345;
0.283;0.673;0.478;
0.283;0.518;0.401;
0.483;1.000;0.742;
0.100;0.018;0.059;
0.100;0.091;0.095;
0.100;0.091;0.095;
0.100;0.091;0.095;
0.100;0.091;0.095;
0.283;0.091;0.187;
0.283;0.227;0.255;
0.283;0.227;0.255;
0.283;0.227;0.255;
0.283;0.164;0.223;
0.033;0.227;0.130;
0.483;0.082;0.283;
0.283;0.245;0.264;
0.283;0.318;0.301;
0.283;0.173;0.228;
0.283;0.082;0.183;
0.283;0.409;0.346;
0.283;0.818;0.551;
0.100;0.227;0.164;
0.483;0.173;0.328;
0.483;0.173;0.328;
0.483;0.191;0.337;
0.483;0.173;0.328;
0.283;0.336;0.310;
0.483;0.173;0.328;
0.650;0.173;0.411;
0.283;0.173;0.228;
0.967;0.336;0.652;
0.650;0.318;0.484;
0.033;0.055;0.044;
0.200;0.073;0.136;
0.183;0.518;0.351;
0.183;0.845;0.514;
0.183;0.109;0.146;
0.433;0.073;0.253;
0.433;0.164;0.298;
0.850;0.673;0.761;
0.283;0.118;0.201;
0.433;0.364;0.398;
0.567;0.409;0.488;
0.033;0.073;0.053;
0.283;0.164;0.223;
0.033;0.164;0.098;
0.283;0.300;0.292;
0.450;0.573;0.511;
0.283;0.227;0.255;
0.283;0.018;0.151;
0.100;0.018;0.059;
0.100;0.091;0.095;
0.100;0.255;0.177;
0.283;1.000;0.642;
0.283;0.109;0.196;
0.283;0.227;0.255;
0.483;0.900;0.692;
0.483;0.109;0.296;
0.483;0.491;0.487;
0.033;0.364;0.198;
0.033;0.145;0.089;
0.483;1.000;0.742;
0.033;0.309;0.171;
0.283;1.000;0.642;
0.433;0.573;0.503;
0.283;0.636;0.460;
0.033;0.227;0.130;
0.283;0.245;0.264;
0.283;0.900;0.592;
